Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Estrés: GET /health,25450,0,280,257.8954967111873,121.39850000676233,1583.9603999920655,15.0,427.55222918473834,0.0,280,290,300,310,330,350,380,420,560,1400,1600
,Aggregated,25450,0,280,257.8954967111873,121.39850000676233,1583.9603999920655,15.0,427.55222918473834,0.0,280,290,300,310,330,350,380,420,560,1400,1600
